Var1 Var2 Var3 Var4 Var5 Var6
s1 4 6 s9 4 6
s1 4 6 s12 4 6
s1 4 6 s17 4 6
s1 4 6 s34 4 6
s2 4 6 s3 4 6
s3 4 6 s2 4 6
s4 4 6 s6 4 6
s4 4 6 s7 4 6
s4 4 6 s25 4 6
s5 4 6 s8 4 6
s5 4 6 s10 4 6
s5 4 6 s13 4 6
s5 4 6 s19 4 6
s5 4 6 s35 4 6
s6 4 6 s4 4 6
s6 4 6 s7 4 6
s7 4 6 s4 4 6
s7 4 6 s6 4 6
s7 4 6 s20 4 6
s7 4 6 s25 4 6
s8 4 6 s5 4 6
s8 4 6 s10 4 6
s8 4 6 s19 4 6
s8 4 6 s35 4 6
s9 4 6 s1 4 6
s9 4 6 s12 4 6
s9 4 6 s17 4 6
s9 4 6 s28 4 6
s9 4 6 s34 4 6
s10 4 6 s5 4 6
s10 4 6 s8 4 6
s10 4 6 s19 4 6
s10 4 6 s35 4 6
s12 4 6 s1 4 6
s12 4 6 s9 4 6
s12 4 6 s17 4 6
s12 4 6 s21 4 6
s12 4 6 s28 4 6
s12 4 6 s34 4 6
s13 4 6 s5 4 6
s13 4 6 s19 4 6
s16 4 6 s20 4 6
s17 4 6 s1 4 6
s17 4 6 s9 4 6
s17 4 6 s12 4 6
s17 4 6 s34 4 6
s19 4 6 s5 4 6
s19 4 6 s8 4 6
s19 4 6 s10 4 6
s19 4 6 s13 4 6
s19 4 6 s35 4 6
s20 4 6 s7 4 6
s20 4 6 s16 4 6
s20 4 6 s25 4 6
s20 4 6 s27 4 6
s21 4 6 s12 4 6
s21 4 6 s28 4 6
s21 4 6 s34 4 6
s23 4 6 s24 4 6
s24 4 6 s23 4 6
s25 4 6 s4 4 6
s25 4 6 s7 4 6
s25 4 6 s20 4 6
s25 4 6 s27 4 6
s27 4 6 s20 4 6
s27 4 6 s25 4 6
s28 4 6 s9 4 6
s28 4 6 s12 4 6
s28 4 6 s21 4 6
s34 4 6 s1 4 6
s34 4 6 s9 4 6
s34 4 6 s12 4 6
s34 4 6 s17 4 6
s34 4 6 s21 4 6
s35 4 6 s5 4 6
s35 4 6 s8 4 6
s35 4 6 s10 4 6
s35 4 6 s19 4 6
