						Voxel locations			Region names
Node number	Z	x	y	z		X	Y	Z	
1	14.5	18	-88	-8		36	19	32	Occipital Fusiform Gyrus
2	7.6	-8	-58	-52		49	34	10	Left IX .
3	4.23	-50	-46	10		70	40	41	Supramarginal Gyrus . 
4	14.5	6	-90	-10		42	18	31	Lingual Gyrus .
5	10.3	30	10	58		30	68	65	Middle Frontal Gyrus
6	10.7	48	-44	46		21	41	59	Supramarginal Gyrus . 
7	10.9	32	-58	-34		29	34	19	Right Crus I
8	6.41	10	-8	-14		40	59	29	Right Hippocampus .
9	6.61	66	-30	-12		12	48	30	Middle Temporal Gyrus
10	5.06	-12	-92	-2		51	17	35	Occipital Pole .
11	4.53	-68	-34	-4		79	46	34	Middle Temporal Gyrus
12	12	42	-16	-2		24	55	35	Planum Polare .
13	11.3	-40	-22	0		65	52	36	Planum Polare .
14	7.26	-48	-68	34		69	29	53	Inferior Parietal Lobule
15	8.04	-30	-80	-34		60	23	19	Left Crus I
16	8.34	32	-80	-34		29	23	19	Right Crus I
17	9.61	36	8	12		27	67	42	Central Opercular Cortex
18	6.9	-22	-48	-52		56	39	10	Left VIIIb .
19	4.97	48	-58	22		21	34	47	Angular Gyrus .
20	8.27	-36	4	12		63	65	42	Central Opercular Cortex
21	9.87	6	40	-6		42	83	33	Paracingulate Gyrus .
22	6.05	52	-70	36		19	28	54	Inferior Parietal Lobule
23	7.69	24	-46	16		33	40	44	Right Lateral Ventricle
24	4.84	54	32	-4		18	79	34	Inferior Frontal Gyrus
25	6.19	32	-52	2		29	37	37	Right Lateral Ventricle
26	5.7	46	-60	-42		22	33	15	Right Crus I
27	9.03	38	-26	66		26	50	69	Postcentral Gyrus .
28	9.54	36	-86	16		27	20	44	Lateral Occipital Cortex
29	7.83	-12	46	46		51	86	59	Frontal Pole .
30	8.31	-10	-60	14		50	33	43	Precuneus Cortex .
31	6	52	38	10		19	82	41	Inferior Frontal Gyrus
32	6.48	40	34	-14		25	80	29	Frontal Orbital Cortex
33	6.18	44	-24	-20		23	51	26	Inferior Temporal Gyrus
34	6.13	0	10	-14		45	68	29	Subcallosal Cortex .
35	4.38	-52	40	6		71	83	39	Inferior Frontal Gyrus
